notif_no,product,holder,manufacturer,substance_detected,product_category
NOT200603276K,deluxe beauty - ultra lightening cream pearl perfect fairness,luna group sdn bhd,royal international,mercury,day cream
NOT180503436K,3rd series yanko fade out cream day cream,lurveya sdn bhd,taiwan biotech co ltd,mercury,day cream
NOT180503437K,3rd series yanko whitening cream night cream,lurveya sdn bhd,taiwan biotech co ltd,tretnon,night cream
NOT180503439K,5th series yanko fade out cream day cream,lurveya sdn bhd,taiwan biotech co ltd,mercury,day cream
NOT180503440K,5th series yanko whitening cream night cream,lurveya sdn bhd,taiwan biotech co ltd,tretnon,night cream
NOT180503441K,7th series yanko whitening cream day,lurveya sdn bhd,taiwan biotech co ltd,mercury,day cream
NOT180503442K,7th series yanko whitening cream night,lurveya sdn bhd,taiwan biotech co ltd,tretnon,night cream
NOT221004660K,abyra seaweed skin care- seaweed cell renewal night cream,abyra star empire,neocosmed co ltd,mercury,night cream
NOT181003521K,ailisi acne purifying cream,ai li si beauty enterprise,taiwan ladies cosmetics co ltd,clindamycin,day cream
NOT220202802K,airee beautycare night cream,evoniz cosmetic industries,yamni industry,mercury,night cream
NOT170600522K,alora night glowing cream,dm beauty resources,guangzhou shang zhuang cosmetics co ltd,hydroquinone,night cream
NOT170801150K,apple diamond day loose,glowing expert apple diamond,yamni industry,mercury,other
NOT190904416K,armila beauty kak ell pigment booster,armila berhad,guang-ding corporation,steroid,other
NOT200205124K,as's beauty night cream,ass beauty enterprise,ireal plus (thailand) co ltd,mercury,night cream
NOT170804496K,asdanne whitening freckle day cream,ys medicals sdn bhd,beauty cosmetic co ltd,mercury,day cream
NOT151204804K,aura gorgeous night cream,aura gorgeous beauty & healthy,anfa international laboratoires,mercury,night cream
NOT180103663K,bao fu ling skincare cream,amg wellness sdn bhd,yantai baofuling biotechnology co ltd,diphenhydramine,other
NOT180202851K,bao fu ling snow lotus cream 15g,bao fu ling global enterprise sdn bhd,beijing bao shu tang sci-tech pharmaceutical co ltd,diphenhydramine,day cream
NOT191200526K,bb glow soul cream,nh biz resources,athena(guangzhou) cosmetics manufacturer co ltd,"hydroquinone, tretinoin",other
NOT201107589K,beaute treatment cream,nh biz resources,ireal plus (thailand) co ltd,"hydroquinone, tretinoin, steroid",other
NOT190900489K,beauty sleep treatment cream,nh biz resources,guangzhou biting cosmetic co ltd,"hydroquinone, tretinoin",night cream
NOT190907469K,beautywise rejuvenating toner,cbb beautywise global,glowcal manufacturing corp,"hydroquinone, tretinoin",toner
NOT220707389K,bestie moisturizer cream,karisma empayar sdn bhd,ireal plus (thailand) co ltd,mercury,day cream
NOT200604601K,biela beauty glowing night cream,be flawless hq marketing,pt adev natural indonesia,"mercury, mercury",night cream
NOT220601259K,bl ledehh day cream 1,bl mira ventures,skin care products (thailand) co ltd,"hydroquinone, tretinoin",day cream
NOT190200461K,bl skincare day cream 2,bl mira ventures,skin care products (thailand) co ltd,mercury,day cream
NOT190200462K,bl skincare night cream,bl mira ventures,skin care products (thailand) co ltd,mercury,night cream
NOT190806808K,brilliant skin essentials rejuvenating facial cream,brilliant skin essentials trading,sbg manufacturing inc,"hydroquinone, tretinoin",day cream
NOT190808060K,brilliant skin essentials whitening facial cream,brilliant skin essentials trading,sbg manufacturing inc,tretnon,day cream
NOT211005337K,bubble   belly    multi purpose    essence,dts skincare industries sdnbhd,dts skincare industries sdnbhd,methyl salicylate,other
NOT221102979K,bubble belly body oil serum,reino global sdn bhd,m/s argion cosmed india pvt ltd,"menthol, methyl salicylate, thymol",facial oil
NOT180802788K,clair de lune - p.tuberose day cream,laurustinus sdn bhd,hung choy cosmetics manufacturing co ltd,"trimethoprim, sulfamethoxazole, ketoconazole, chloramphenicol",day cream
NOT180802789K,clair de lune - s.involucrata night cream,laurustinus sdn bhd,hung choy cosmetics manufacturing co ltd,"sulfamethoxazole, chlorpheniramine, metronidazole, trimethoprim, griseofulvin",night cream
NOT220501104K,clemira care cream,clemira group trading,km company inc,miconazole,other
NOT191203847K,deeja cosmetic laila cream,twin rich solution,top on cosmetics industries,"steroid, mercury",other
NOT171004771K,deeja cosmetic star cream,limajari marketing,top on cosmetics industries,"tretnon, hydroquinone",other
NOT190108080K,deeja cosmetics zulai cream,twin rich solution,top on cosmetics industries,hydroquinone,other
NOT180105344K,deeja wrinkle cream,limajari marketing,top on cosmetics industries,mercury,day cream
NOT181002913K,dnars gold balen cream (night),rohban trade sdn bhd,top on cosmetics industries,"hydroquinone, steroid",night cream
NOT181002911K,dnars gold glowing serum (day),rohban trade sdn bhd,top on cosmetics industries,steroid,serum
NOT181002912K,dnars gold lifthing serum (night),rohban trade sdn bhd,top on cosmetics industries,mercury,serum
NOT180104881K,dnars golden cream,rohban trade sdn bhd,top on cosmetics industries,mercury,other
NOT160802315K,dnars honey cream,onew cosmetics,yamni industry,"hydroquinone, tretnon",day cream
NOT190506522K,dnars luvee cream,rohban trade sdn bhd,top on cosmetics industries,hydroquinone,other
NOT180104880K,dnars nien cream,rohban trade sdn bhd,top on cosmetics industries,"hydroquinone, tretinoin",night cream
NOT131006026K,dnars yellow gold collagen,ori herbs coffee marketing,yamni industry,mercury,other
NOT171200081K,dolly glow miracle treatment cream,nh biz resources,nund skintech,"hydroquinone, tretinoin",other
NOT180205661K,fjura - face polish treatment,thefjura marketing,karvy manufacturing international (pakistan) pvt ltd,mercury,cleanser
NOT220301718K,flashhskinzz moist sunscreen,flashh skinzz beauty trading,ireal plus (thailand) co ltd,mercury,sunscreen
NOT220301716K,flashhskinzz night cream,flashh skinzz beauty trading,ireal plus (thailand) co ltd,hydroquinone,night cream
NOT220301717K,flashhskinzz treatment cream,flashh skinzz beauty trading,ireal plus (thailand) co ltd,mercury,other
NOT211002945K,for u night cream - 15g,d ains beauty empire sdn bhd,guangzhou baiyunqu yanmei cosmetics factory,"hydroquinone, tretinoin, steroid",night cream
NOT220504138K,fruiser instant hand sanitizer - protect,khobates industries sdn bhd,cosmetech manufacturing,isopropyl alcohol,other
NOT190708278K,fs turmeric cream,fs beauty & spa,ireal plus (thailand) coltd,"steroid, mercury",other
NOT170900717K,fulenze - whitening freckle day cream,ys medicals sdn bhd,beauty cosmetic co ltd,mercury,day cream
NOT240201187K,gb herbal cream treatment,glowing beauty care,sb interlab co ltd,"steroid, mercury",other
NOT240201186K,gb night cream treatment,glowing beauty care,sb interlab co ltd,"hydroquinone, tretinoin",night cream
NOT210305182K,gerbera beauty - treatment & repairing night cream,gerbera beauty,guangzhou meisheng cosmetics co ltd,steroid,night cream
NOT210305183K,gerbera beauty - whitening night cream,gerbera beauty,guangzhou meisheng cosmetics co ltd,mercury,night cream
NOT170201663K,gg pinky day cream for skin,one world cosmetics,pan rajdhevee group public company limited,mercury,day cream
NOT170806887K,glow glowing n glowing,qalbu ocean enterprise,top on cosmetics industries,mercury,other
NOT181006812K,glow skin white - brightening cream,figure fit (m) sdn bhd,oracle cos international,mercury,day cream
NOT210604359K,haemun cream,axeltrade resources plt,hanbit korea co ltd,miconazole,other
NOT230903286K,kak ell krim rawatan,armila berhad,fabullite sdn bhd,mercury,other
NOT210701629K,karisma birds nest gel,karisma empayar sdn bhd,ireal plus (thailand) co ltd,"hydroquinone, tretinoin",other
NOT160300509K,karisma daycream,karisma cosmetic,merry cosmetic laboratories co ltd,mercury,day cream
NOT220903606K,karisma golden turmeric cream,karisma empayar sdn bhd,ireal plus (thailand) co ltd,"mercury, steroid",day cream
NOT160300410K,karisma nightcream kunyit,karisma cosmetic,merry cosmetic laboratories co ltd,mercury,night cream
NOT160300556K,karisma treatment sarang burung,karisma cosmetic,merry cosmetic laboratories co ltd,"hydroquinone, tretinoin",other
NOT171003557K,labeauty booster night cream,labeauty resources,guangzhou shang zhuang cosmetics co ltd,mercury,night cream
NOT190107639K,lana radiance night cream,qalbu ocean enterprise,top on cosmetics industries,hydroquinone,night cream
NOT200306590K,ls repairing cream,aa mega legacy,ireal plus (thailand) co ltd,mercury,other
NOT170200716K,luffiya night cream 1 & 2,arriana rose beauty resources,lolla industries (m) sdn bhd,"tretnon, hydroquinone, mercury",night cream
NOT201004624K,luxe lily beauty peeling oil,ay & nr enterprise,advance cosmetic co ltd,"hydroquinone, hydroquinone",facial oil
NOT160506024K,magic cream,malia mellia,nund skintech,mercury,day cream
NOT170204393K,moleek skincare anti pigmentation cream plus,sejagat global resources,dby smart trading,"tretnon, hydroquinone",day cream
NOT200901749K,momila beauty whitening cream,bysheilanan enterprise,guangzhou baiyunqu yanmei cosmetics factory,mercury,day cream
NOT190605136K,ms skinz night cream,redsky capital,fabullite sdn bhd,mercury,night cream
NOT150903694K,night cream dollys pinky,legacy jaya enterprise,benny cosmetic co ltd,mercury,night cream
NOT200405779K,night cream foru by d ains beauty empire,d ains beauty empire sdn bhd,guangzhou baiyunqu yanmei cosmetics factory,"tretinoin, hydroquinone, steroid",night cream
NOT220102940K,ninaskincare skin puteh moisturizer,nina beauty legacy,guangzhou boxuanya cosmetics coltd,mercury,day cream
NOT200704119K,np beauty fm cream,np beauty resources,guangzhou baiyunqu yanmei cosmetics factory,mercury,other
NOT150900193K,nuriz  shoppe -uv pearl cream,progressive mix industries,progressive mix industries,mercury,day cream
NOT140304146K,nv anti blemish toner 1,nouvelle beauty centre sdn bhd,qemrich sdn bhd,"hydroquinone, tretinoin",toner
NOT190702019K,qeziger age-locking recharging spot a.m cream,elemensive manufacture enterprise,mell biotech coltd,mercury,day cream
NOT220106011K,rissa skin moisturiser,twin rich solution,ireal plus (thailand) co ltd,"tretinoin, steroid, hydroquinone",other
NOT170402517K,robisis - anti-acne whitening day & night cream,ys medicals sdn bhd,cosmaprof co ltd,mercury,day cream
NOT150501310K,royal expert whitening cream,ortus expert cosmetics sdn bhd,qcm cosmetics international,mercury,day cream
NOT180705530K,rzac beauty creme 2,r-zac sdn bhd,siam yoko co ltd,mercury,other
NOT210605524K,serene treatment cream,richgolds enterprise,ireal plus (thailand) co ltd,mercury,other
NOT210302928K,skin dessert cream,ailezee empire,guangzhou meisheng cosmetic co ltd,mercury,day cream
NOT191103319K,skin revolution - acne clearing solution,sansbeau cosmetics sdnbhd,guangzhou bailichem cosmetics coltd,metronidazole,other
NOT230202916K,skinmade az & salicylic acid + licorice root serum,beauty effect store sdn bhd,vni scientific sdn bhd,azelaic acid,serum
NOT210700039K,skinsister babyskin treatment cream,magnivque empire resources,ireal plus (thailand) co ltd,mercury,other
NOT200706569K,sl two intensive,d aman kosmetik & enterprise,guangzhou shang zhuang cosmetics co ltd,"hydroquinone, steroid",other
NOT221003358K,snow white treatment cream,bellanasz beauty,zhejiang l&j cosmetics coltd,mercury,other
NOT180901024K,sparkle moon night cream,karisma empayar sdn bhd,merry cosmetic laboratories co ltd,"mercury, steroid",night cream
NOT180901005K,sparkle sun day cream,karisma empayar sdn bhd,merry cosmetic laboratories co ltd,mercury,day cream
NOT201003378K,sweet 13 skincare treatment cream,jane beauty and boutique,guangzhou meisheng cosmetic co ltd,mercury,other
NOT170303016K,syma magical serum,syima global enterprise,seri wv sdn bhd,mercury,serum
NOT170505954K,tati therapy cream 2,hdy aylia resources,nund skintech,"hydroquinone, tretinoin",other
NOT171202673K,tati ultra night cream,nh biz resources,nund skintech,mercury,night cream
